15214432,22 Mayıs 2024,Satılık,73 M2,2+1,3.Kat,Kombi Doğalgaz,22 Mayıs 2024,Konut,Daire,82 M2,0 (Yeni),4,Boş,5.500.000
15208699,05 Haziran 2024,Satılık,50 M2,1+1,Düz Giriş (Zemin),Kombi Doğalgaz,21 Mayıs 2024,Konut,Daire,60 M2,21 Ve Üzeri,3,Kiracı Oturuyor,1.255.000arrow_downward%2
15208442,03 Haziran 2024,Satılık,115 M2,3+1,2.Kat,Kombi Doğalgaz,21 Mayıs 2024,Konut,Daire,125 M2,21 Ve Üzeri,3,Kiracı Oturuyor,2.299.000arrow_downward%2
15207076,21 Mayıs 2024,Satılık,125 M2,3+1,8.Kat,Merkezi Doğalgaz,21 Mayıs 2024,Konut,Daire,140 M2,0 (Yeni),12,Boş,3.100.000
15199371,05 Haziran 2024,Satılık,150 M2,4+1,6.Kat,Merkezi (Pay Ölçer),20 Mayıs 2024,Konut,Daire,180 M2,0 (Yeni),10,Boş,7.750.000
15192636,05 Haziran 2024,Satılık,140 M2,3+1,3.Kat,Kombi Doğalgaz,19 Mayıs 2024,Konut,Daire,150 M2,5-10,3,Boş,3.449.000
15160786,05 Haziran 2024,Satılık,230 M2,4+1,Çatı Dubleks,Kombi Doğalgaz,14 Mayıs 2024,Konut,Daire,245 M2,16-20,3,Boş,3.100.000
15160103,14 Mayıs 2024,Satılık,260 M2,5+2,3.Kat,Kombi Doğalgaz,14 Mayıs 2024,Konut,Daire,300 M2,11-15,4,Mülk Sahibi Oturuyor,6.900.000
15154671,03 Haziran 2024,Satılık,120 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,13 Mayıs 2024,Konut,Daire,130 M2,16-20,4,Kiracı Oturuyor,1.750.000
15136541,04 Haziran 2024,Satılık,210 M2,1.5+1,Çatı Dubleks,Kombi Doğalgaz,10 Mayıs 2024,Konut,Daire,230 M2,16-20,3,Boş,4.600.000
15108294,01 Haziran 2024,Satılık,125 M2,3+1,2.Kat,Kombi Doğalgaz,05 Mayıs 2024,Konut,Daire,130 M2,16-20,3,Boş,2.199.000
15098674,05 Haziran 2024,Satılık,90 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,03 Mayıs 2024,Konut,Daire,100 M2,5-10,3,Boş,2.120.000arrow_downward%5
15092485,03 Haziran 2024,Satılık,95 M2,3+1,1.Kat,Kombi Doğalgaz,02 Mayıs 2024,Konut,Daire,105 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,1.900.000arrow_downward%5
15075373,16 Mayıs 2024,Satılık,90 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,29 Nisan 2024,Konut,Daire,100 M2,21 Ve Üzeri,3,Boş,1.498.000arrow_downward%3
15039072,04 Haziran 2024,Satılık,95 M2,3+1,1.Kat,Kombi Doğalgaz,23 Nisan 2024,Konut,Daire,115 M2,21 Ve Üzeri,2,Boş,2.990.000
15012076,03 Haziran 2024,Satılık,125 M2,3+1,5.Kat,Kombi Doğalgaz,18 Nisan 2024,Konut,Daire,140 M2,21 Ve Üzeri,8,Mülk Sahibi Oturuyor,2.985.000
15008402,17 Nisan 2024,Satılık,100 M2,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,17 Nisan 2024,Konut,Daire,110 M2,11-15,3,Mülk Sahibi Oturuyor,1.550.000
14995434,25 Mayıs 2024,Satılık,160 M2,4+1,7.Kat,Merkezi Doğalgaz,15 Nisan 2024,Konut,Daire,180 M2,16-20,12,Kiracı Oturuyor,11.900.000
14937545,05 Haziran 2024,Satılık,130 M2,3+1,1.Kat,Kombi Doğalgaz,30 Mart 2024,Konut,Daire,135 M2,11-15,3,Boş,2.600.000
14834378,21 Mayıs 2024,Satılık,145 M2,3+1,3.Kat,Kombi Doğalgaz,11 Mart 2024,Konut,Daire,165 M2,16-20,10,Mülk Sahibi Oturuyor,4.125.000
14775231,01 Haziran 2024,Satılık,180 M2,4+1,Düz Giriş (Zemin),Kombi Doğalgaz,28 Şubat 2024,Konut,Daire,200 M2,0 (Yeni),14,Boş,3.335.000arrow_downward%2
14696006,20 Mayıs 2024,Satılık,135 M2,3+1,Kot 1 (-1).Kat,Kombi Doğalgaz,13 Şubat 2024,Konut,Daire,145 M2,5-10,4,Mülk Sahibi Oturuyor,2.500.000arrow_downward%2
14693017,20 Mayıs 2024,Satılık,70 M2,2+1,2.Kat,Kombi Doğalgaz,12 Şubat 2024,Konut,Daire,75 M2,0 (Yeni),3,Boş,2.850.000
14668426,18 Nisan 2024,Satılık,140 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,07 Şubat 2024,Konut,Daire,175 M2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,3.800.000arrow_downward%7
15296859,06 Haziran 2024,Satılık,117 M2,3+1,4.Kat,Merkezi (Pay Ölçer),06 Haziran 2024,Konut,Daire,133 M2,0 (Yeni),5,Boş,2.150.000
15296858,06 Haziran 2024,Satılık,80 M2,2+1,Düz Giriş (Zemin),Merkezi (Pay Ölçer),06 Haziran 2024,Konut,Daire,97 M2,0 (Yeni),4,Boş,1.199.000
15296857,06 Haziran 2024,Satılık,120 M2,3+1,1.Kat,Kombi Doğalgaz,06 Haziran 2024,Konut,Daire,130 M2,16-20,3,Mülk Sahibi Oturuyor,1.935.000
15296826,06 Haziran 2024,Satılık,70 M2,3+1,Kot 1 (-1).Kat,Kombi Doğalgaz,06 Haziran 2024,Konut,Daire,75 M2,0 (Yeni),5,Boş,4.650.000
15295675,05 Haziran 2024,Satılık,180 M2,4+1,6.Kat,Merkezi (Pay Ölçer),05 Haziran 2024,Konut,Daire,200 M2,5-10,11,Mülk Sahibi Oturuyor,6.500.000
15295656,05 Haziran 2024,Satılık,85 M2,2+1,Çatı Katı,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,110 M2,0 (Yeni),4,Boş,6.750.000
15295622,05 Haziran 2024,Satılık,105 M2,3+1,2.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,115 M2,21 Ve Üzeri,3,Boş,1.480.000
15295614,05 Haziran 2024,Satılık,120 M2,3+1,2.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,125 M2,16-20,4,Boş,2.500.000
15295610,05 Haziran 2024,Satılık,120 M2,3+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,125 M2,5-10,3,Kiracı Oturuyor,2.450.000
15295604,05 Haziran 2024,Satılık,130 M2,4+1,1.Kat,Merkezi (Pay Ölçer),05 Haziran 2024,Konut,Daire,140 M2,5-10,15,Boş,1.690.000
15295601,05 Haziran 2024,Satılık,120 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,135 M2,11-15,3,Boş,3.145.000
15295580,05 Haziran 2024,Satılık,105 M2,3+1,Kot 2 (-2).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,115 M2,11-15,4,Mülk Sahibi Oturuyor,1.550.000
15295557,05 Haziran 2024,Satılık,115 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,125 M2,11-15,4,Mülk Sahibi Oturuyor,2.300.000
15295556,05 Haziran 2024,Satılık,145 M2,3+1,4.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,150 M2,16-20,10,Kiracı Oturuyor,3.339.000
15295538,05 Haziran 2024,Satılık,150 M2,4+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,165 M2,5-10,4,Boş,4.345.000
15295531,05 Haziran 2024,Satılık,125 M2,3+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,135 M2,16-20,3,Boş,2.675.000
15295427,05 Haziran 2024,Satılık,125 M2,3+1,2.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,135 M2,11-15,2,Mülk Sahibi Oturuyor,2.109.000
15295424,05 Haziran 2024,Satılık,135 M2,4+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,150 M2,0 (Yeni),4,Boş,2.649.000
15295423,05 Haziran 2024,Satılık,120 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,130 M2,11-15,4,Mülk Sahibi Oturuyor,2.490.000
15295421,05 Haziran 2024,Satılık,125 M2,3+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,130 M2,4,3,Boş,2.449.000
15295348,05 Haziran 2024,Satılık,120 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,135 M2,4,3,Kiracı Oturuyor,2.880.000
15295324,05 Haziran 2024,Satılık,95 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,100 M2,16-20,4,Mülk Sahibi Oturuyor,1.450.000
15295318,05 Haziran 2024,Satılık,80 M2,2+1,Kot 1 (-1).Kat,Sobalı,05 Haziran 2024,Konut,Daire,500 M2,0 (Yeni),1,Boş,4.000.000
15295260,05 Haziran 2024,Satılık,115 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,125 M2,5-10,4,Kiracı Oturuyor,2.950.000
15295219,05 Haziran 2024,Satılık,115 M2,3+1,4.Kat,Merkezi Doğalgaz,05 Haziran 2024,Konut,Daire,133 M2,21 Ve Üzeri,5,Boş,5.200.000
15295210,05 Haziran 2024,Satılık,130 M2,3+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,140 M2,5-10,4,Mülk Sahibi Oturuyor,2.189.000
15295200,05 Haziran 2024,Satılık,338 M2,5+2,Çatı Dubleks,Merkezi (Pay Ölçer),05 Haziran 2024,Konut,Daire,450 M2,4,4,Mülk Sahibi Oturuyor,22.500.000
15295197,05 Haziran 2024,Satılık,110 M2,3+1,Kot 1 (-1).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,120 M2,11-15,5,Mülk Sahibi Oturuyor,1.950.000
15295155,05 Haziran 2024,Satılık,300 M2,6+1,7.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,350 M2,11-15,7,Boş,8.500.000
15295128,05 Haziran 2024,Satılık,160 M2,4+1,10.Kat,Yerden Isıtma,05 Haziran 2024,Konut,Daire,170 M2,4,12,Boş,4.750.000
15295007,05 Haziran 2024,Satılık,115 M2,3+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,120 M2,5-10,3,Boş,2.675.000
15294975,05 Haziran 2024,Satılık,180 M2,4+1,12.Kat,Merkezi Doğalgaz,05 Haziran 2024,Konut,Daire,185 M2,0 (Yeni),13,Boş,5.200.000
15294955,05 Haziran 2024,Satılık,50 M2,1+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,55 M2,0 (Yeni),2,Boş,1.500.000
15294930,05 Haziran 2024,Satılık,130 M2,3+1,Kot 1 (-1).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,140 M2,11-15,6,Mülk Sahibi Oturuyor,2.050.000
15294881,05 Haziran 2024,Satılık,90 M2,3+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,105 M2,11-15,3,Boş,1.790.000
15294878,05 Haziran 2024,Satılık,300 M2,6+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,350 M2,16-20,3,Boş,4.890.000
15294835,05 Haziran 2024,Satılık,120 M2,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,130 M2,0 (Yeni),4,Boş,2.250.000
15294821,05 Haziran 2024,Satılık,50 M2,1+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,55 M2,0 (Yeni),2,Boş,1.600.000
15294802,05 Haziran 2024,Satılık,115 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,120 M2,11-15,3,Kiracı Oturuyor,1.890.000
15294785,05 Haziran 2024,Satılık,40 M2,1+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,45 M2,0 (Yeni),4,Boş,2.750.000
15294720,05 Haziran 2024,Satılık,110 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,115 M2,11-15,3,Mülk Sahibi Oturuyor,2.300.000
15294705,05 Haziran 2024,Satılık,120 M2,3+1,Kot 1 (-1).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,125 M2,11-15,3,Mülk Sahibi Oturuyor,2.298.000
15294701,05 Haziran 2024,Satılık,120 M2,3+1,6.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,135 M2,0 (Yeni),6,Boş,3.290.000
